,pos,height,weight,hits/throws,number,image
Josh Hillyard,INF,"6'0""",,,3,https://gvsulakers.com/images/2014/5/12/2638343.jpeg?width=80
Steve Anderson,SS,"6'1""",,,5,https://gvsulakers.com/images/2014/5/12/7373476.jpeg?width=80
Zach Laupp,C,"6'0""",,,6,https://gvsulakers.com/images/2014/5/12/7373600.jpeg?width=80
Kyle Gendron,INF,"6'1""",,,8,https://gvsulakers.com/images/2014/5/12/4213498.jpeg?width=80
Casey Robrahn,CF,"6'1""",,,9,https://gvsulakers.com/images/2014/5/12/2638576.jpeg?width=80
Torre Aguirre,1B/OF,"6'3""",,,10,https://gvsulakers.com/images/2014/5/12/6251707.jpeg?width=80
Dan Anstedt,SS,"5'11""",,,12,https://gvsulakers.com/images/2014/5/12/2638311.jpeg?width=80
Kyle Schepel,RHP,"6'0""",,,13,https://gvsulakers.com/images/2014/5/12/7373648.jpeg?width=80
Jared Cowan,C,"6'2""",,,14,https://gvsulakers.com/images/2014/5/12/7373556.jpeg?width=80
Bobby Walmsley,C,"5'11""",,,15,https://gvsulakers.com/images/2014/5/12/2638397.jpeg?width=80
Ben Knuth,RHP,"6'3""",,,17,https://gvsulakers.com/images/2014/5/12/2638357.jpeg?width=80
Joe Jablonski,RHP,"6'5""",,,20,https://gvsulakers.com/images/2014/5/12/6251771.jpeg?width=80
Cory Rademacher,RHP,"6'2""",,,21,https://gvsulakers.com/images/2014/5/12/6251720.jpeg?width=80
Matt Nickels,OF,"5'11""",,,22,https://gvsulakers.com/images/2014/5/12/2638369.jpeg?width=80
Cory Maguire,LHP/1B,"6'2""",,,24,https://gvsulakers.com/images/2014/5/12/4213524.jpeg?width=80
Andre Benjamin,LHP,"6'3""",,,25,https://gvsulakers.com/images/2014/5/12/2638317.jpeg?width=80
Josh Johnson,RHP,"6'2""",,,26,https://gvsulakers.com/images/2014/5/12/2638354.jpeg?width=80
Cody Grice,OF,"5'10""",,,27,https://gvsulakers.com/images/2014/5/12/6251806.jpeg?width=80
Jared Knuth,RHP,"6'2""",,,29,https://gvsulakers.com/images/2014/5/12/4213509.jpeg?width=80
Danny Richard,RHP,"6'3""",,,30,https://gvsulakers.com/images/2014/5/12/2638380.jpeg?width=80
Scott Cain,OF,"6'0""",,,31,https://gvsulakers.com/images/2014/5/12/2638328.jpeg?width=80
Brad Raj,3B/RHP,"6'0""",,,32,https://gvsulakers.com/images/2014/5/12/4213572.jpeg?width=80
Jay Tharrett,C,"6'0""",,,33,https://gvsulakers.com/images/2014/5/12/4213648.jpeg?width=80
Matt Cade,LHP,"6'2""",,,34,https://gvsulakers.com/images/2014/5/12/4207179.jpeg?width=80
David Bowman,RHP,"5'10""",,,38,https://gvsulakers.com/images/2014/5/12/2638321.jpeg?width=80
Manser,INF,"5'9""",,,Ryan,https://gvsulakers.com/images/2014/5/12/2638367.jpeg?width=80
Riashi,RHP,"6'2""",,,Mark,
